pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-30,0-0,0-0,1,291240,,,,,1,Ad,Rudy Quan,Near,1,Body,84,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,293360,,,,,2,Ad,Rudy Quan,Near,,,,,,,,,,132,513,Down the Line,Backhand,,,,,,,,,,79,-289,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,295028,,,,,3,Deuce,Rudy Quan,Near,,,,,,,,,,103,-529,Down the Line,Forehand,,,,,,,,,,68,418,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,296643,,,,,4,Ad,Rudy Quan,Near,,,,,,,,,,84,500,Crosscourt,Backhand,,,,,,,,,,-137,-278,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,297943,,,,,5,Ad,Rudy Quan,Near,,,,,,,,,,-185,-516,Crosscourt,Backhand,,,,,,,,,,10,415,,,,,,,,,,,,,,,,,,,,
40-30,0-0,0-0,,299420,1,300743,,,6,Ad,Rudy Quan,Near,,,,,,,,,,23,503,Crosscourt,Forehand,,,,,,,,,,-124,5,,,,1,,,,,,,,,,,,,,,,
0-0,1-0,0-0,1,364413,,,,,1,Deuce,Aristotelis Thanos,Near,1,T,-38,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,1-0,0-0,,367859,,,,,2,Deuce,Aristotelis Thanos,Near,,,,,,,,,,-76,511,Down the Line,Backhand,,,,,,,,,,-54,-209,,,,,,,,,,,,,,,,,,,,
0-0,1-0,0-0,,369067,,,,,3,Ad,Aristotelis Thanos,Near,,,,,,,,,,-73,-391,Down the Line,Forehand,1,,,,1,,,1,,-124,66,,,,,,,,,,,,,,,,,,,,
0-0,1-0,0-0,,372731,1,372741,,,4,Deuce,Aristotelis Thanos,Near,,,,,,,,,,-142,79,Down the Line,Forehand,,,,,,,,1,,-94,-481,,,,,1,,,,,,,,,,,,,,,
15-0,1-0,0-0,1,392179,,,,,1,Ad,Aristotelis Thanos,Near,0,T,20,273,1,Body,63,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-0,1-0,0-0,,404916,,,,,2,Ad,Aristotelis Thanos,Near,,,,,,,,,,156,497,Down the Line,Backhand,,,,,,,,,,68,-310,,,,,,,,,,,,,,,,,,,,
15-0,1-0,0-0,,406263,1,408844,,,3,Deuce,Aristotelis Thanos,Near,,,,,,,,,,68,-495,Crosscourt,Forehand,,,,,,,,,,-137,255,1,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,1,436625,,,,,1,Deuce,Aristotelis Thanos,Near,1,Body,-89,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,440133,,,,,2,Deuce,Aristotelis Thanos,Near,,,,,,,,,,-113,484,Down the Line,Backhand,,,,,,,,,,-41,-347,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,441662,,,,,3,Ad,Aristotelis Thanos,Near,,,,,,,,,,-20,-500,Crosscourt,Forehand,,,,,,,,,,84,245,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,443025,,,,,4,Ad,Aristotelis Thanos,Near,,,,,,,,,,95,500,Crosscourt,Backhand,,,,,,,,,,-113,-273,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,444986,,,,,5,Ad,Aristotelis Thanos,Near,,,,,,,,,,-204,-497,Down the Line,Forehand,,,,,,,,,,-84,386,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,446392,,,,,6,Deuce,Aristotelis Thanos,Near,,,,,,,,,,-46,511,Crosscourt,Forehand,,,,,,,,,,90,-211,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,447691,,,,,7,Deuce,Aristotelis Thanos,Near,,,,,,,,,,175,-535,Crosscourt,Forehand,1,,,,,,,,,-12,421,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,450059,,,,,8,Deuce,Aristotelis Thanos,Near,,,,,,,,,,-12,513,Crosscourt,Forehand,,,,,,,,,,39,-318,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,451161,1,452679,,,9,Deuce,Aristotelis Thanos,Near,,,,,,,,,,90,-535,Crosscourt,Forehand,,,,,,,,,,-44,-17,,,,1,,,,,,,,,,,,,,,,
30-15,1-0,0-0,1,485908,,,,,1,Ad,Aristotelis Thanos,Near,1,Wide,127,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-15,1-0,0-0,,489597,,,,,2,Ad,Aristotelis Thanos,Near,,,,,,,,,,191,497,Crosscourt,Backhand,,,,,,,,,,-84,-329,,,,,,,,,,,,,,,,,,,,
30-15,1-0,0-0,,491590,1,493162,,,3,Ad,Aristotelis Thanos,Near,,,,,,,,,,-164,-503,Crosscourt,Forehand,,,,,,,,,,188,397,,1,,,,,,,,,,,,,,,,,,
30-30,1-0,0-0,1,513446,,,,,1,Deuce,Aristotelis Thanos,Near,0,Wide,-180,249,1,Body,-76,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-30,1-0,0-0,,525344,,,,,2,Deuce,Aristotelis Thanos,Near,,,,,,,,,,-150,532,Crosscourt,Forehand,,,,,,,,,,15,-417,,,,,,,,,,,,,,,,,,,,
30-30,1-0,0-0,,526955,,,,,3,Deuce,Aristotelis Thanos,Near,,,,,,,,,,58,-513,Crosscourt,Forehand,,,,,,,,,,-14,277,,,,,,,,,,,,,,,,,,,,
30-30,1-0,0-0,,528332,1,529654,,,4,Deuce,Aristotelis Thanos,Near,,,,,,,,,,-28,492,Down the Line,Forehand,,,,,,,,,,-140,-267,1,,,,,,,,,,,,,,,,,,,
30-40,1-0,0-0,1,554142,,,,1,1,Ad,Aristotelis Thanos,Near,1,Wide,132,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
