pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
11,Rudy Quan,Aristotelis Thanos,30-30,1-0,0-0,,Deuce,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,513446.0,529654.0,16208.0,4,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Near,-180.0,249.0,-76.0,129.0,Crosscourt,Forehand,,,Down the Line,Forehand,Rudy Quan,Winner,Rudy Quan,0.0,False,,,1,0,0,1,0,30,30,,,2,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,2nd Serve In,Deuce: Body,,,,,,0.0,1.0,1.0,1.0,"Set 1: 1-0, 30-30 Aristotelis Thanos Serving"
12,Rudy Quan,Aristotelis Thanos,30-40,1-0,0-0,,Ad,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,554142.0,560083.0,5941.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,132.0,230.0,,,Down the Line,Backhand,Net,,Crosscourt,Forehand,Aristotelis Thanos,Error,Rudy Quan,0.0,True,,Aristotelis Thanos,1,0,0,1,0,30,40,,,2,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Forehand,Error,0.0,0.0,0.0,1.0,"Set 1: 1-0, 30-40 Aristotelis Thanos Serving"
13,Rudy Quan,Aristotelis Thanos,0-0,2-0,0-0,,Deuce,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,593422.0,618430.0,25008.0,9,9-12,0,1,2nd Serve In,T,Body,T,False,Far,71.0,-271.0,47.0,-191.0,Down the Line,Forehand,Wide Right,,Down the Line,Forehand,Rudy Quan,Error,Aristotelis Thanos,0.0,False,,,1,0,0,2,0,0,0,,,3,2nd Serve In,Deuce: T,,,Down the Line,Forehand,Error,,,Down the Line,Forehand,,,,3.0,1.0,1.0,2.0,"Set 1: 2-0, 0-0 Rudy Quan Serving"
14,Rudy Quan,Aristotelis Thanos,0-15,2-0,0-0,,Ad,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,644099.0,653708.0,9609.0,4,1-4,1,0,1st Serve In,Body,Body,,False,Far,-70.0,-159.0,,,Down the Line,Forehand,Long,,Crosscourt,Forehand,Aristotelis Thanos,Error,Rudy Quan,0.0,False,,,1,0,0,2,0,0,15,,,3,1st Serve In,Ad: Body,,,,,,,,Down the Line,Forehand,Crosscourt,Forehand,Error,0.0,0.0,1.0,1.0,"Set 1: 2-0, 0-15 Rudy Quan Serving"
15,Rudy Quan,Aristotelis Thanos,15-15,2-0,0-0,,Deuce,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,673753.0,688982.0,15229.0,9,9-12,1,0,1st Serve In,Body,Body,,False,Far,71.0,-215.0,,,Crosscourt,Forehand,Net,,Down the Line,Forehand,Rudy Quan,Error,Aristotelis Thanos,0.0,False,,,1,0,0,2,0,15,15,,,3,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,2.0,2.0,2.0,1.0,"Set 1: 2-0, 15-15 Rudy Quan Serving"
16,Rudy Quan,Aristotelis Thanos,15-30,2-0,0-0,,Ad,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,712794.0,740971.0,28177.0,14,13+,0,1,2nd Serve In,Body,Body,Body,False,Far,-65.0,-285.0,-105.0,-154.0,Crosscourt,Forehand,Net,,Down the Line,Backhand,Aristotelis Thanos,Error,Rudy Quan,0.0,False,,,1,0,0,2,0,15,30,,,3,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Forehand,Down the Line,Backhand,Error,3.0,0.0,3.0,6.0,"Set 1: 2-0, 15-30 Rudy Quan Serving"
17,Rudy Quan,Aristotelis Thanos,30-30,2-0,0-0,,Deuce,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,770919.0,,,2,1-4,1,0,1st Serve In,Body,Body,,False,Far,74.0,-218.0,,,Down the Line,Forehand,Long,Long,Down the Line,Forehand,Aristotelis Thanos,Error,Rudy Quan,,False,,,1,0,0,2,0,30,30,,,3,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,1.0,0.0,0.0,0.0,"Set 1: 2-0, 30-30 Rudy Quan Serving"
18,Rudy Quan,Aristotelis Thanos,40-30,2-0,0-0,,Ad,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,796121.0,,,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,-110.0,-186.0,,,Crosscourt,Backhand,Long,Long,Crosscourt,Backhand,Aristotelis Thanos,Error,Rudy Quan,,False,,,1,0,0,2,0,40,30,,,3,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1.0,0.0,0.0,0.0,"Set 1: 2-0, 40-30 Rudy Quan Serving"
19,Rudy Quan,Aristotelis Thanos,0-0,3-0,0-0,,Deuce,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,921154.0,934641.0,13487.0,1,1-4,0,0,Double Fault,T,T,T,False,Far,49.0,-313.0,17.0,-257.0,,,,,,,Aristotelis Thanos,,Rudy Quan,,False,,,1,0,0,3,0,0,0,,,4,,,,,,,,Double Fault,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 3-0, 0-0 Aristotelis Thanos Serving"
20,Rudy Quan,Aristotelis Thanos,0-15,3-0,0-0,,Ad,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,956557.0,973730.0,17173.0,3,1-4,0,1,2nd Serve In,Body,T,Body,False,Far,-42.0,-265.0,-71.0,-100.0,Crosscourt,Backhand,Net,,Crosscourt,Backhand,Aristotelis Thanos,Error,Rudy Quan,,False,,,1,0,0,3,0,0,15,,,4,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Body,,,Crosscourt,Backhand,Error,0.0,0.0,0.0,1.0,"Set 1: 3-0, 0-15 Aristotelis Thanos Serving"
