Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2019-09-26,2nd round,Govind Nanda,Ricardo Rodriguez-Pace,"6-2, 7-5",M25 Harlingen,35/59,43/56,26/35,26/43,13/24,5/13,4/7,1/2,25/56,20/59,64/115,51/115,1,1,7,1
2019-09-27,1/4,Govind Nanda,Jonathan Gray,"6-3, 4-6, 6-2",M25 Harlingen,64/105,47/78,45/64,27/47,19/41,16/31,5/11,3/12,35/78,41/105,99/183,84/183,3,5,7,3
2019-09-28,1/2,Govind Nanda,Timo Stodder,"6-4, 6-2",M25 Harlingen,34/54,40/66,22/34,21/40,12/20,9/26,5/10,2/5,36/66,20/54,70/120,50/120,2,4,,
2019-09-29,fin,Govind Nanda,Adrian Andreev,"6-4, 6-4",M25 Harlingen,38/68,38/65,22/38,27/38,18/30,6/27,5/9,3/11,32/65,28/68,72/133,61/133,0,5,1,2
2019-10-02,1st round,Nathan Ponwith,Govind Nanda,"6-4, 4-6, 6-2",M25 Norman,39/72,54/90,30/39,36/54,17/33,13/36,6/12,4/5,41/90,25/72,88/162,74/162,8,8,4,7
2019-10-09,1st round,Govind Nanda,Lucas Gomez,"6-1, 6-3",M25 Claremont,32/45,30/49,25/32,16/30,6/13,9/19,5/9,1/1,24/49,14/45,55/94,39/94,2,3,4,5
2019-10-11,2nd round,Evan Song,Govind Nanda,"7-63, 2-6, 7-63",M25 Claremont,,,,,,,,,,,,,,,,
2019-10-28,1st round,Jeff Wolf,Govind Nanda,"6-0, 6-1",Charlottesville Challenger,22/47,25/44,17/22,9/25,13/25,7/19,6/9,0/3,28/44,17/47,58/91,33/91,2,1,4,1
2019-11-04,qual.,Andrea Vavassori,Govind Nanda,"6-2, 5-7, 6-3",Knoxville Challenger,50/87,60/101,36/50,38/60,21/37,20/41,5/13,2/7,43/101,30/87,100/188,88/188,6,1,6,3
2019-11-11,1st round,Govind Nanda,Oliver Crawford,"6-4, 6-3",Houston Challenger,28/55,40/64,21/28,22/40,16/27,12/24,4/8,2/5,30/64,18/55,67/119,52/119,0,2,1,1
2019-11-12,2nd round,Michael Redlicki,Govind Nanda,"6-3, 6-3",Houston Challenger,36/50,44/69,24/36,21/44,9/14,13/25,5/16,2/5,35/69,17/50,68/119,51/119,1,2,0,3
2017-12-31,q 1,Govind Nanda,Stefan Menichella,"7-66, 6-3",USA F1,,,,,,,,,,,,,,,,
2018-01-01,q 2,Govind Nanda,Beibit Zhukayev,"6-2, 7-5",USA F1,,,,,,,,,,,,,,,,
2018-01-02,qual.,Patrick Kypson,Govind Nanda,"6-2, 3-6, 7-5",USA F1,65/110,45/85,43/65,29/45,23/45,21/40,5/7,3/14,35/85,44/110,101/195,94/195,2,4,2,6
2018-01-07,q 1,Govind Nanda,Kento Perera,"4-6, 6-2, 6-1",USA F2,,,,,,,,,,,,,,,,
2018-01-08,q 2,Alexander Lebedev,Govind Nanda,"7-5, 6-3",USA F2,,,,,,,,,,,,,,,,
2018-03-18,q 1,Govind Nanda,Tristan Boyer,"7-63, 7-61",USA F8,,,,,,,,,,,,,,,,
