Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2,break_points_won_player1,break_points_won_player2
2021-06-09,1/4,Novak Djokovic,Matteo Berrettini,"6-3, 6-2, 6-75, 7-5",Paris,92/132,94/144,71/92,67/94,26/40,21/50,56/144,35/132,153/276,123/276,1,3,10,11,4/9,0/3
2021-06-11,1/2,Novak Djokovic,Rafael Nadal,"3-6, 6-3, 7-64, 6-2",Paris,85/133,86/133,55/85,51/86,24/48,19/47,63/133,54/133,142/266,124/266,3,8,6,6,8/22,6/16
2021-06-13,fin,Novak Djokovic,Stefanos Tsitsipas,"6-76, 2-6, 6-3, 6-2, 6-4",Paris,91/134,109/177,71/91,73/109,23/43,34/68,70/177,40/134,164/311,147/311,3,4,5,14,5/16,3/8
2021-06-28,1st round,Novak Djokovic,Jack Draper,"4-6, 6-1, 6-2, 6-2",London,63/81,60/106,55/63,42/60,12/18,18/46,46/106,14/81,113/187,74/187,1,6,25,4,6/15,1/3
2021-06-30,2nd round,Novak Djokovic,Kevin Anderson,"6-3, 6-3, 6-3",London,46/72,45/77,39/46,30/45,18/26,13/32,34/77,15/72,91/149,58/149,1,4,9,11,,
2021-07-02,3rd round,Novak Djokovic,Denis Kudla,"6-4, 6-3, 7-67",London,50/92,45/96,44/50,30/45,21/42,28/51,38/96,27/92,103/188,85/188,6,3,8,6,4/10,2/4
2021-07-05,4th round,Novak Djokovic,Cristian Garin,"6-2, 6-4, 6-2",London,39/67,48/85,36/39,27/48,18/28,17/37,41/85,13/67,95/152,57/152,1,5,9,2,5/12,0/2
2021-07-07,1/4,Novak Djokovic,Marton Fucsovics,"6-3, 6-4, 6-4",London,61/93,65/101,50/61,38/65,14/32,19/36,44/101,29/93,108/194,86/194,3,5,4,5,4/14,1/6
2021-07-09,1/2,Novak Djokovic,Denis Shapovalov,"7-63, 7-5, 7-5",London,68/112,72/108,55/68,57/72,25/44,15/36,36/108,32/112,116/220,104/220,5,6,8,5,3/10,1/11
2021-07-11,fin,Novak Djokovic,Matteo Berrettini,"6-74, 6-4, 6-4, 6-3",London,75/122,91/154,59/75,69/91,25/47,24/63,61/154,38/122,145/276,131/276,4,3,5,16,6/15,2/7
