pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement
40-40,0-0,0-0,,217012,,,7,,3,Ad,Motka Komac,Near,,,,,,,,,,-93.0,-454.0,Down the Line,Backhand,,,,,,,,,,-47.0,306.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
40-40,0-0,0-0,,218085,,,7,,4,Deuce,Motka Komac,Near,,,,,,,,,,-21.0,486.0,Down the Line,Forehand,,,,,,,,,,-90.0,-299.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
40-40,0-0,0-0,,219631,,,7,,5,Ad,Motka Komac,Near,,,,,,,,,,-115.0,-510.0,Crosscourt,Backhand,,,,,,,,,,70.0,237.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
40-40,0-0,0-0,,221439,,,7,,6,Ad,Motka Komac,Near,,,,,,,,,,75.0,462.0,Crosscourt,Backhand,,,,,,,,,,-42.0,-230.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
40-40,0-0,0-0,,222354,1.0,,7,,7,Ad,Motka Komac,Near,,,,,,,,,,-83.0,-491.0,Crosscourt,Backhand,,,,,,,,,,166.0,224.0,,1.0,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Elise Wagle,1,,
0-0,1-0,0-0,1.0,298945,,,8,,1,Deuce,Elise Wagle,Near,1.0,Body,-93.0,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,1st Serve In,Body
0-0,1-0,0-0,,307425,,,8,,2,Deuce,Elise Wagle,Near,,,,,,,,,,-163.0,448.0,Crosscourt,Forehand,,,,,,,,,,78.0,-310.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,,0,,
0-0,1-0,0-0,,308720,,,8,,3,Deuce,Elise Wagle,Near,,,,,,,,,,125.0,-507.0,Down the Line,Forehand,,,,,,,,,,19.0,261.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,,
0-0,1-0,0-0,,310100,1.0,,8,,4,Deuce,Elise Wagle,Near,,,,,,,,,,-51.0,472.0,Down the Line,Backhand,,,,,,,,,,-50.0,2.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,Elise Wagle,1,,
15-0,1-0,0-0,1.0,327879,,,9,,1,Ad,Elise Wagle,Near,0.0,T,19.0,381.0,1.0,Wide,107.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,2nd Serve In,Wide
