pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
42,Govind Nanda,Nishesh Basavareddy,15-30,2-5,0-0,,Ad,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,2065257.0,,,10,9-12,1,0,1st Serve In,T,T,,False,Near,38.0,229.0,,,Down the Line,Forehand,Net,,Down the Line,Forehand,Govind Nanda,Error,Nishesh Basavareddy,,False,,,1,0,0,2,5,15,30,,,8,,,Down the Line,Forehand,Down the Line,Forehand,Error,1st Serve In,Ad: T,,,,,,1.0,0.0,3.0,4.0,"Set 1: 2-5, 15-30 Nishesh Basavareddy Serving"
43,Govind Nanda,Nishesh Basavareddy,15-40,2-5,0-0,,Deuce,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,2110180.0,,,10,9-12,0,1,2nd Serve In,Body,T,Body,False,Near,38.0,5.0,-93.0,133.0,Crosscourt,Forehand,,,Down the Line,Forehand,Govind Nanda,Winner,Govind Nanda,,True,Govind Nanda,,1,0,0,2,5,15,40,,,8,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,2nd Serve In,Deuce: Body,,,,,,1.0,0.0,4.0,4.0,"Set 1: 2-5, 15-40 Nishesh Basavareddy Serving"
44,Govind Nanda,Nishesh Basavareddy,30-40,2-5,0-0,,Ad,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,2164758.0,,,4,1-4,0,1,2nd Serve In,T,Body,T,False,Near,80.0,0.0,38.0,168.0,Crosscourt,Forehand,Wide Right,,Crosscourt,Forehand,Govind Nanda,Error,Nishesh Basavareddy,,True,,,1,0,0,2,5,30,40,,,8,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,2nd Serve In,Ad: T,,,,,,0.0,0.0,1.0,1.0,"Set 1: 2-5, 30-40 Nishesh Basavareddy Serving"
45,Govind Nanda,Nishesh Basavareddy,0-0,0-0,0-1,,Deuce,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,2366986.0,,,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,139.0,-226.0,,,Crosscourt,Forehand,Long,Long,Crosscourt,Forehand,Nishesh Basavareddy,Error,Govind Nanda,,False,,,2,0,1,0,0,0,0,,,1,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 2: 0-0, 0-0 Govind Nanda Serving"
46,Govind Nanda,Nishesh Basavareddy,15-0,0-0,0-1,,Ad,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,2382551.0,,,12,9-12,1,0,1st Serve In,Body,Body,,False,Far,-101.0,-234.0,,,Crosscourt,Backhand,Net,,Down the Line,Backhand,Nishesh Basavareddy,Error,Govind Nanda,,False,Govind Nanda,,2,0,1,0,0,15,0,,,1,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,1.0,1.0,4.0,4.0,"Set 2: 0-0, 15-0 Govind Nanda Serving"
47,Govind Nanda,Nishesh Basavareddy,30-0,0-0,0-1,,Deuce,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,2409076.0,,,2,1-4,1,0,1st Serve In,Body,Body,,False,Far,96.0,-242.0,,,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Nishesh Basavareddy,Error,Govind Nanda,,False,,,2,0,1,0,0,30,0,,,1,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 2: 0-0, 30-0 Govind Nanda Serving"
48,Govind Nanda,Nishesh Basavareddy,40-0,0-0,0-1,,Ad,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,2440616.0,,,4,1-4,0,1,2nd Serve In,Body,Body,Body,False,Far,-61.0,0.0,-80.0,-226.0,Crosscourt,Backhand,,,Crosscourt,Backhand,Nishesh Basavareddy,Winner,Nishesh Basavareddy,,False,,,2,0,1,0,0,40,0,,,1,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Winner,0.0,1.0,1.0,1.0,"Set 2: 0-0, 40-0 Govind Nanda Serving"
49,Govind Nanda,Nishesh Basavareddy,40-15,0-0,0-1,,Deuce,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,2495126.0,,,2,1-4,0,1,2nd Serve In,Wide,T,Wide,False,Far,-21.0,-136.0,133.0,-139.0,Down the Line,Forehand,,,Down the Line,Forehand,Nishesh Basavareddy,Winner,Nishesh Basavareddy,,False,,,2,0,1,0,0,40,15,,,1,2nd Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Winner,0.0,1.0,0.0,0.0,"Set 2: 0-0, 40-15 Govind Nanda Serving"
50,Govind Nanda,Nishesh Basavareddy,40-30,0-0,0-1,,Ad,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,2527326.0,,,4,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Far,-117.0,-389.0,-82.0,-107.0,Crosscourt,Backhand,,,Down the Line,Backhand,Nishesh Basavareddy,Winner,Nishesh Basavareddy,,False,,,2,0,1,0,0,40,30,,,1,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Winner,0.0,0.0,1.0,2.0,"Set 2: 0-0, 40-30 Govind Nanda Serving"
51,Govind Nanda,Nishesh Basavareddy,40-40,0-0,0-1,,Ad,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,2575021.0,,,8,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,-114.0,-173.0,,,Down the Line,Backhand,,,Crosscourt,Forehand,Nishesh Basavareddy,Winner,Nishesh Basavareddy,,True,Govind Nanda,,2,0,1,0,0,40,40,,,1,1st Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Winner,0.0,1.0,3.0,3.0,"Set 2: 0-0, 40-40 Govind Nanda Serving"
