pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-0,0-1,0-0,1,453646,,,,,1,Ad,Nishesh Basavareddy,Far,1,Wide,-136,-129,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-0,0-1,0-0,,471964,,,,,2,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-242,-514,Crosscourt,Backhand,,,,,,,,,,115,179,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-0,0-1,0-0,,471965,,,,,3,Ad,Nishesh Basavareddy,Far,,,,,,,,,,120,328,Down the Line,Backhand,,,,,,,,,,120,-413,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-0,0-1,0-0,,472828,,,,,4,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,91,-530,Crosscourt,Forehand,,,,,,,,,,-7,48,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-0,0-1,0-0,,474987,,,,,5,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-10,53,Down the Line,Forehand,,1,,,,,,1,,-130,-261,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-0,0-1,0-0,,478316,1,,,,6,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-128,-490,Down the Line,Backhand,,,,,,,,1,,-173,96,,,1,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-15,0-1,0-0,1,478317,,,,,1,Deuce,Nishesh Basavareddy,Far,1,Body,96,-199,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-15,0-1,0-0,,500576,,,,,2,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,165,-440,Down the Line,Forehand,,,,,,,,,,48,285,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-15,0-1,0-0,,501657,,,,,3,Ad,Nishesh Basavareddy,Far,,,,,,,,,,8,469,Crosscourt,Backhand,,,,,,,,,,-71,-314,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-15,0-1,0-0,,502901,,,,,4,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-114,-477,Crosscourt,Backhand,,,,,,,,,,75,256,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-15,0-1,0-0,,504506,,,,,5,Ad,Nishesh Basavareddy,Far,,,,,,,,,,64,466,Down the Line,Backhand,,,,,,,,,,96,-293,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-15,0-1,0-0,,505523,,,,,6,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,149,-493,Crosscourt,Forehand,,,,,,,,,,-50,277,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-15,0-1,0-0,,506958,,,,,7,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-128,477,Crosscourt,Forehand,,,,,,,,,,43,-258,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-15,0-1,0-0,,508334,1,,,,8,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,86,-450,Down the Line,Forehand,,,,,,,,,,48,-440,,,,1,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-30,0-1,0-0,1,508335,1,,,,1,Ad,Nishesh Basavareddy,Far,1,Wide,-144,-214,,,,,1,,,,,,,,,,,,,,,,1,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
