pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-30,0-0,0-0,,193534,,,4,,6,Ad,Govind Nanda,Far,,,,,,,,,,-117.0,-370.0,Down the Line,Backhand,,,,,,,,,,-71.0,413.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,,,,,,,Deep
15-30,0-0,0-0,,195716,,,4,,7,Deuce,Govind Nanda,Far,,,,,,,,,,-64.0,464.0,Down the Line,Forehand,,,,,,,,,,-87.0,-147.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,,,Short
15-30,0-0,0-0,,195717,,,4,,8,Ad,Govind Nanda,Far,,,,,,,,,,-74.0,-168.0,Crosscourt,Backhand,,1.0,,,,,,1,,80.0,296.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,,,,,,,Short
15-30,0-0,0-0,,197753,,,4,,9,Ad,Govind Nanda,Far,,,,,,,,,,131.0,477.0,Crosscourt,Backhand,,,,,,,,1.0,,-31.0,-24.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,,,Short
15-30,0-0,0-0,,197754,1.0,,4,,10,Ad,Govind Nanda,Far,,,,,,,,,,-50.0,-24.0,Down the Line,Forehand,,1.0,,,,,,1,,-71.0,-19.0,1.0,,,1.0,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,1.0,,Govind Nanda,1,,,
15-40,0-0,0-0,1.0,225473,,,5,,1,Deuce,Govind Nanda,Far,1.0,Body,102.0,-233.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,1st Serve In,Body,
15-40,0-0,0-0,,232658,1.0,,5,,2,Deuce,Govind Nanda,Far,,,,,,,,,,192.0,-448.0,Crosscourt,Forehand,,,,,,,,,,-343.0,349.0,,,1.0,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,,,Govind Nanda,1,,,
30-40,0-0,0-0,1.0,239811,,,6,,1,Ad,Govind Nanda,Far,1.0,Body,-98.0,-225.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,1st Serve In,Body,
30-40,0-0,0-0,,262850,,,6,,2,Ad,Govind Nanda,Far,,,,,,,,,,-162.0,-448.0,Down the Line,Backhand,,,,,,,,,,-55.0,234.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,,,,,,,Short
30-40,0-0,0-0,,264450,1.0,,6,,3,Ad,Govind Nanda,Far,,,,,,,,,,22.0,458.0,Down the Line,Forehand,,,,,,,,,,54.0,3.0,,,,1.0,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,1.0,,Nishesh Basavareddy,1,,,
