Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Ferguson,7,in_play,Forehand,Topspin,52.221207,81,0,0,no_mans_land,ad,near,-0.929868,3.992241,out,deuce,far,-1.976556,25.411741,0.75096,down the line,In,false,21:39:04,2372.75
Aadarsh,8,in_play,Backhand,Topspin,52.764317,81,0,0,no_mans_land,ad,far,1.133795,21.962154,out,ad,near,-0.757726,-1.020615,1.012169,cross court,In,false,21:39:06,2374.030029
Ferguson,9,in_play,Forehand,Topspin,52.59626,81,0,0,no_mans_land,ad,near,-1.017826,3.220421,out,ad,far,1.749483,26.951101,1.260073,inside out,In,false,21:39:07,2375.449951
Aadarsh,10,in_play,Forehand,Topspin,61.108028,81,0,0,out,ad,far,3.258683,24.673088,out,ad,near,-1.815179,-1.217312,0.80163,inside out,Out,false,21:39:08,2376.969971
Ferguson,11,in_play,Backhand,Topspin,49.860291,81,0,0,no_mans_land,ad,near,-2.176229,3.98942,out,ad,far,4.083227,25.228056,0.963664,cross court,In,false,21:39:11,2379.629883
Aadarsh,12,in_play,Backhand,Topspin,60.883373,81,0,0,service_box,deuce,far,-1.646044,17.364649,out,ad,near,-3.034655,-1.137834,0.979739,down the line,In,false,21:39:12,2380.98999
Ferguson,13,in_play,Forehand,Slice,49.076832,81,0,0,out,deuce,near,1.733828,-0.084305,no_mans_land,deuce,far,-0.735345,23.176283,1.035,cross court,Out,false,21:39:14,2382.429932
Aadarsh,14,in_play,Forehand,Topspin,67.931252,81,0,0,out,ad,far,3.210611,24.191984,out,deuce,near,1.811545,-0.619465,0.924655,down the line,Out,false,21:39:15,2383.689941
Ferguson,1,serve,Serve,Flat,121.590271,82,0,0,no_mans_land,ad,near,-4.043051,4.296209,no_mans_land,ad,far,0.538603,24.593157,2.621943,out wide,Out,false,21:39:46,2414.030029
Aadarsh,2,return,Backhand,Topspin,40.600658,82,0,0,service_box,ad,far,0.52429,14.833732,out,ad_out,near,-5.492985,-2.168593,0.895743,down the line,In,false,21:39:46,2414.77002
Ferguson,1,serve,Serve,Flat,80.039429,83,0,0,service_box,ad,near,-2.920836,7.348937,no_mans_land,ad,far,1.274664,23.841351,2.548606,out wide,In,false,21:39:56,2424.840088
Aadarsh,2,return,Forehand,Topspin,58.269634,83,0,0,no_mans_land,deuce,far,-2.410082,21.171902,no_mans_land,ad_alley,near,-4.444317,-0.483795,1.453999,inside in,In,false,21:39:57,2425.73999
Ferguson,1,serve,Serve,Flat,99.168251,84,0,0,service_box,deuce,near,1.89956,6.337051,no_mans_land,deuce,far,-0.595021,23.721571,2.546547,down the T,In,false,21:40:30,2458.379883
Aadarsh,2,return,Backhand,Topspin,41.23634,84,0,0,no_mans_land,deuce,far,-2.836447,23.419498,out,deuce,near,3.889571,-1.555442,0.944503,inside out,In,false,21:40:31,2459.199951
Ferguson,3,serve_plus_one,Forehand,Topspin,60.472797,84,0,0,service_box,deuce,near,0.349549,7.134807,out,deuce,far,-3.226606,26.640051,1.852604,cross court,In,false,21:40:33,2461.120117
Aadarsh,4,return_plus_one,Forehand,Slice,43.54398,84,0,0,out,ad,far,1.607871,24.333855,no_mans_land,deuce,near,1.613745,0.984789,0.83406,down the line,Out,false,21:40:34,2462.719971
Aadarsh,5,in_play,Forehand,Topspin,65.73716,84,0,0,no_mans_land,ad_alley,far,4.488898,21.432276,out,deuce,near,1.99779,-0.805951,1.436732,down the line,Out,false,21:40:39,2467.600098
Ferguson,1,serve,Serve,Flat,86.918854,85,0,0,service_box,ad,near,-3.238934,6.276742,no_mans_land,ad,far,0.942094,24.29719,2.543266,out wide,In,false,21:41:06,2494.959961
Aadarsh,2,return,Backhand,Topspin,46.506649,85,0,0,no_mans_land,ad,far,1.078626,20.654911,out,ad_alley,near,-5.168066,-1.552095,0.863192,down the line,In,false,21:41:07,2495.780029
Ferguson,3,serve_plus_one,Forehand,Slice,49.551319,85,0,0,no_mans_land,ad,near,-1.95365,4.51073,no_mans_land,ad,far,1.690263,23.789017,1.758106,inside out,In,false,21:41:09,2497.620117
Aadarsh,4,return_plus_one,Backhand,Topspin,53.401413,85,0,0,no_mans_land,deuce,far,-1.660319,18.310524,out,ad,near,-3.806034,-2.266367,0.866877,down the line,In,false,21:41:11,2499.060059
Ferguson,5,in_play,Forehand,Topspin,44.42263,85,0,0,no_mans_land,ad,near,-1.387251,3.681121,out,deuce,far,-1.32102,26.104126,0.949327,down the line,In,false,21:41:12,2500.659912
Aadarsh,6,in_play,Forehand,Topspin,57.929451,85,0,0,out,ad,far,1.838002,24.510517,out,ad,near,-1.904437,-1.182089,1.205718,inside out,Out,false,21:41:14,2502.23999
Ferguson,1,serve,Serve,Flat,99.073555,86,0,0,service_box,ad,near,-3.211797,6.610541,no_mans_land,ad,far,1.672932,24.857878,2.388155,out wide,In,false,21:41:42,2530.659912
Aadarsh,2,return,Backhand,Topspin,39.416416,86,0,0,no_mans_land,ad,far,1.811632,19.853189,out,ad_alley,near,-5.151389,-0.915812,0.74554,down the line,In,false,21:41:43,2531.320068
Ferguson,3,serve_plus_one,Forehand,Topspin,66.837059,86,0,0,service_box,ad,far,0.797299,11.954326,no_mans_land,ad,far,3.559983,22.181425,1.388918,inside out,Net,false,21:41:45,2533.780029
Aadarsh,1,serve,Serve,Flat,63.689926,87,0,0,service_box,deuce,near,1.731197,6.623308,no_mans_land,deuce,far,-0.74939,22.80069,2.510272,down the T,In,false,21:42:53,2601.919922
Ferguson,2,return,Backhand,Topspin,31.535658,87,0,0,no_mans_land,ad,far,2.771021,18.864569,service_box,deuce,near,1.731197,6.098061,0.051762,inside in,In,false,21:42:54,2602.959961
Aadarsh,3,serve_plus_one,Backhand,Topspin,68.5868,87,0,0,no_mans_land,ad,near,-1.783383,2.685921,no_mans_land,ad,far,1.279861,24.950066,1.061996,cross court,In,false,21:42:56,2604.399902
Ferguson,4,return_plus_one,Backhand,Slice,43.894192,87,0,0,no_mans_land,ad,far,1.893584,20.893682,out,ad,near,-2.442951,-1.611547,0.786928,cross court,In,false,21:42:57,2605.52002
Aadarsh,5,in_play,Backhand,Slice,42.231819,87,0,0,no_mans_land,deuce_alley,near,4.480058,1.222922,no_mans_land,ad,far,2.460949,24.145178,0.568083,down the line,Out,false,21:42:59,2607.199951
Ferguson,6,in_play,Forehand,Flat,54.567863,87,0,0,service_box,deuce,near,1.509524,10.848137,out,deuce,near,3.962472,-2.083069,0.69175,cross court,Net,false,21:43:01,2609.02002
Aadarsh,1,serve,Serve,Flat,109.366356,88,0,0,service_box,ad,near,-3.854147,6.930444,service_box,ad,far,1.293458,23.608982,2.259246,out wide,In,false,21:43:25,2633.600098
Aadarsh,1,serve,Serve,Flat,68.055305,89,0,0,service_box,ad,near,-2.490087,8.771523,no_mans_land,ad,far,1.082995,24.016304,2.630478,out wide,In,false,21:43:34,2642.080078
Ferguson,2,return,Backhand,Topspin,40.747837,89,0,0,no_mans_land,deuce,far,-1.569759,20.659199,no_mans_land,ad_alley,near,-4.52663,-0.410592,1.508672,down the line,In,false,21:43:35,2643.139893
Aadarsh,3,serve_plus_one,Forehand,Flat,58.40155,89,0,0,no_mans_land,deuce,near,3.023505,3.349156,out,deuce,far,-0.839878,25.67293,1.33954,cross court,In,false,21:43:36,2644.810059
Ferguson,4,return_plus_one,Forehand,Topspin,52.46104,89,0,0,service_box,deuce,far,-0.256499,16.906673,out,deuce,near,3.857068,-1.245521,1.265045,cross court,In,false,21:43:38,2646.110107
Aadarsh,5,in_play,Forehand,Slice,28.05871,89,0,0,service_box,ad,near,-2.118008,8.061516,no_mans_land,deuce,far,-3.621952,23.922544,0.953661,down the line,In,false,21:43:39,2647.469971
Aadarsh,1,serve,Serve,Flat,51.487972,92,0,0,service_box,deuce,near,3.027853,6.330104,no_mans_land,deuce,far,-1.374451,24.485167,2.445301,out wide,In,false,21:44:05,2673.320068
Ferguson,2,return,Forehand,Topspin,69.941566,92,0,0,service_box,deuce,near,2.363114,10.596163,out,deuce_alley,near,4.687904,-0.71164,1.243427,down the line,Net,false,21:44:06,2674.52002
Aadarsh,1,serve,Serve,Flat,44.2542,93,0,0,service_box,deuce,far,-1.56567,17.46913,no_mans_land,ad,far,1.393282,22.900206,2.132,out wide,Net,false,21:44:23,2691.649902
Aadarsh,1,serve,Serve,Flat,60.607506,94,0,0,service_box,ad,near,-2.835101,7.440615,out,ad,far,1.26432,25.252327,2.581493,out wide,In,false,21:44:30,2698.52002
Ferguson,2,return,Backhand,Slice,49.7388,94,0,0,no_mans_land,ad,far,1.415759,20.733692,no_mans_land,ad_alley,near,-5.278921,0.142728,0.821013,down the line,In,false,21:44:31,2699.899902
Aadarsh,3,serve_plus_one,Forehand,Topspin,78.755051,94,0,0,service_box,ad,near,-0.460299,6.926553,no_mans_land,ad,far,0.992382,21.54966,1.124565,inside out,In,false,21:44:33,2701.340088
Ferguson,4,return_plus_one,Forehand,Topspin,52.072178,94,0,0,no_mans_land,deuce,far,-1.917369,20.503979,out,ad,near,-1.341384,-0.876058,0.601735,inside in,In,false,21:44:34,2702.360107
Aadarsh,5,in_play,Forehand,Topspin,60.698727,94,0,0,no_mans_land,ad,near,-0.046053,3.630735,out,deuce,far,-1.835799,25.527468,1.14759,down the line,In,false,21:44:35,2703.580078
Ferguson,6,in_play,Forehand,Topspin,59.731033,94,0,0,service_box,ad,far,2.040379,16.629562,out,deuce,near,0.260934,-0.957102,0.915517,down the line,In,false,21:44:36,2704.76001
Aadarsh,7,in_play,Backhand,Topspin,59.517178,94,0,0,no_mans_land,ad,near,-0.56876,4.839673,out,ad,far,2.619256,25.052053,0.726625,cross court,In,false,21:44:37,2705.899902
Ferguson,8,in_play,Forehand,Topspin,57.338909,94,0,0,no_mans_land,ad,far,2.142296,20.82918,out,ad,near,-1.183169,-0.714194,0.767746,inside out,In,false,21:44:39,2707.159912
Aadarsh,9,in_play,Backhand,Topspin,72.193878,94,0,0,out,deuce_alley,near,4.511502,-0.104046,out,ad,far,3.192492,26.067392,1.179533,down the line,Out,false,21:44:40,2708.379883
Ferguson,0,none,BH Volley,Flat,22.256962,95,0,0,service_box,deuce,far,-0.551482,16.482763,service_box,deuce,near,0.653905,9.426773,1.706818,cross court,In,false,21:44:53,2721.98999
Aadarsh,1,serve,Serve,Flat,90.093208,96,0,0,service_box,ad_alley,far,5.375157,17.826939,no_mans_land,deuce,far,-0.840905,24.728758,2.623631,out wide,Net,false,21:45:06,2734.399902
Aadarsh,1,serve,Serve,Slice,46.706505,97,0,0,service_box,deuce,near,2.066449,7.747961,no_mans_land,deuce,far,-1.154113,24.371563,2.65072,down the T,In,false,21:45:13,2741.199951
Ferguson,2,return,Forehand,Topspin,58.48777,97,0,0,no_mans_land,deuce,far,-3.010679,20.530132,out,deuce,near,3.449583,-1.804226,0.746567,cross court,In,false,21:45:14,2742.780029
Aadarsh,3,serve_plus_one,Forehand,Slice,30.883089,97,0,0,service_box,deuce,far,-0.895657,18.137447,out,deuce,far,-3.727208,25.374132,1.071303,cross court,Net,false,21:45:15,2743.97998
Aadarsh,1,serve,Serve,Flat,126.093613,99,0,0,service_box,ad,near,-0.933548,6.39571,service_box,ad,far,0.023208,23.68117,2.366341,down the T,In,false,21:45:40,2768.820068
Ferguson,2,return,Forehand,Topspin,50.277756,99,0,0,no_mans_land,deuce,far,-0.098994,18.381901,out,ad,near,-1.528139,-0.614567,1.221448,inside in,In,false,21:45:41,2769.52002
Aadarsh,3,serve_plus_one,Forehand,Topspin,63.295715,99,0,0,no_mans_land,ad,near,-3.450363,4.03813,no_mans_land,ad,far,0.426988,24.412352,1.354778,inside out,In,false,21:45:42,2770.899902
Ferguson,4,return_plus_one,Backhand,Slice,38.392944,99,0,0,out,ad_alley,near,-4.368261,-0.124184,out,ad_alley,near,-5.163821,-1.599015,0.865621,cross court,Net,false,21:45:44,2772.179932
Ferguson,0,none,Forehand,Topspin,44.453377,100,0,0,out,deuce,near,0.318819,-0.045956,no_mans_land,ad,near,-0.381055,2.305274,1.864988,inside in,Net,false,21:45:53,2781.22998
Ferguson,1,serve,Serve,Slice,68.771957,102,0,0,no_mans_land,deuce,far,-2.068967,18.360258,out,deuce,near,1.220625,-0.620789,2.700623,down the T,Out,false,21:46:17,2805.780029
Aadarsh,2,return,Forehand,Slice,62.801876,102,0,0,service_box,deuce,far,-1.049801,16.685181,out,deuce,far,-3.64096,25.478907,1.487786,cross court,Net,false,21:46:18,2806.679932
Ferguson,1,serve,Serve,Slice,59.407566,103,0,0,service_box,deuce,far,-2.711855,18.236794,no_mans_land,deuce,near,0.647929,-0.128427,2.718719,out wide,In,false,21:46:36,2824.51001
Aadarsh,2,return,Forehand,Topspin,59.521866,103,0,0,no_mans_land,deuce,near,2.336856,4.05319,out,deuce_alley,far,-4.373585,26.151049,1.251197,down the line,In,false,21:46:37,2825.469971
Ferguson,3,serve_plus_one,Forehand,Topspin,48.277863,103,0,0,no_mans_land,deuce,far,-0.902618,19.222723,out,deuce,near,3.52786,-0.911423,1.077784,cross court,In,false,21:46:38,2826.590088
Aadarsh,4,return_plus_one,Forehand,Topspin,61.816341,103,0,0,no_mans_land,ad,near,-2.764488,2.004851,no_mans_land,deuce,far,-1.480846,24.365019,1.319559,down the line,In,false,21:46:39,2827.969971
Ferguson,5,in_play,Backhand,Topspin,36.399155,103,0,0,no_mans_land,ad,far,1.840164,23.249641,out,ad,near,-3.301542,-2.449,1.081658,cross court,In,false,21:46:41,2829.090088
Aadarsh,6,in_play,Backhand,Flat,38.017532,103,0,0,no_mans_land,deuce,near,3.269292,2.99428,out,ad,far,3.655915,25.869923,2.374976,down the line,In,false,21:46:44,2832.439941
Ferguson,7,in_play,Forehand,Topspin,65.079552,103,0,0,no_mans_land,deuce,far,-1.947838,19.417385,out,deuce,near,3.815437,-0.786937,0.994836,cross court,In,false,21:46:46,2834.540039
Aadarsh,8,in_play,Forehand,Topspin,60.429619,103,0,0,no_mans_land,ad,near,-2.170632,3.535617,out,deuce,far,-3.344218,25.381248,1.219444,down the line,In,false,21:46:47,2835.659912
Ferguson,9,in_play,Backhand,Topspin,45.155983,103,0,0,service_box,ad,far,2.08764,14.972164,out,ad,near,-1.503608,-1.186816,0.579993,cross court,In,false,21:46:48,2836.939941
Aadarsh,10,in_play,Backhand,Slice,27.242268,103,0,0,service_box,deuce,near,1.534479,9.629763,no_mans_land,ad,far,2.879391,24.130993,0.468856,down the line,In,false,21:46:50,2838.379883
Ferguson,1,serve,Serve,Slice,86.768517,104,0,0,service_box,ad,far,1.997595,17.279257,out,ad,near,-1.419486,-0.65402,2.689633,down the T,In,false,21:47:22,2870.780029
Ferguson,2,return,Forehand,Topspin,78.55751,104,0,0,no_mans_land,ad,far,1.513316,18.716555,no_mans_land,ad,near,-1.462916,0.330991,1.193069,inside out,In,false,21:47:25,2873.280029
Aadarsh,3,serve_plus_one,Backhand,Slice,86.539391,104,0,0,no_mans_land,deuce,near,2.489042,4.2369,out,ad,far,2.743136,26.529049,0.651918,down the line,In,false,21:47:26,2874.399902
Ferguson,4,return_plus_one,Forehand,Topspin,72.192734,104,0,0,no_mans_land,ad,far,3.564014,21.787886,no_mans_land,deuce,near,1.751915,0.389193,0.92409,down the line,In,false,21:47:28,2876.540039
Ferguson,1,serve,Serve,Slice,96.110481,105,0,0,service_box,ad,near,-0.615264,11.641511,no_mans_land,deuce,near,0.857658,0.355075,2.699594,down the T,Net,false,21:47:58,2906.959961
