pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet
0-0,1-0,0-0,1,355674,NA,NA,NA,NA,1,Deuce,Player1,Near,0,Wide,-180,230,1,Body,-79,228,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-0,0-0,NA,372287,NA,NA,NA,NA,2,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,-132,488,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,-377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-0,0-0,NA,372870,NA,NA,NA,NA,2,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,-108,477,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,-289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-0,0-0,NA,373704,NA,NA,NA,NA,3,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,43,-474,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-0,0-0,NA,373810,NA,NA,NA,NA,3,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,91,-496,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-0,0-0,NA,374998,NA,NA,NA,NA,4,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,-74,421,Crosscourt,Forehand,NA,NA,NA,1,NA,NA,NA,NA,NA,54,-364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-0,0-0,NA,375924,NA,NA,NA,NA,5,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,99,-544,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-0,0-0,NA,379523,1,379533,NA,NA,6,Ad,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,35,141,Down the Line,Backhand,NA,1,NA,NA,NA,NA,1,NA,NA,145,-382,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-15,1-0,0-0,1,410563,NA,NA,NA,NA,1,Ad,Player1,Near,1,T,38,233,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-15,1-0,0-0,NA,413677,1,414558,NA,NA,2,Ad,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,33,482,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-167,-265,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-15,1-0,0-0,1,433889,1,454132,NA,NA,1,Deuce,Player1,Near,0,Body,-82,278,0,Wide,-172,238,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-0,0-0,1,469688,NA,NA,NA,NA,1,Ad,Player1,Near,0,T,3,268,1,Body,102,236,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,1-0,0-0,NA,482759,1,NA,NA,NA,2,Ad,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,142,426,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,-420,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-0,0-0,1,506525,NA,NA,NA,1,1,Deuce,Player1,Near,0,Wide,-170,233,1,Body,-58,121,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-0,0-0,NA,530040,NA,NA,NA,NA,2,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,-74,480,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,-265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-0,0-0,NA,531341,NA,NA,NA,NA,4,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,-74,496,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,-380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-0,0-0,NA,531740,NA,NA,NA,NA,3,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,49,-472,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-0,0-0,NA,532824,NA,NA,NA,NA,5,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,38,-517,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-0,0-0,NA,534984,NA,NA,NA,NA,6,Ad,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,38,496,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,-369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-40,1-0,0-0,NA,536127,1,536137,NA,NA,7,Deuce,Player1,Near,NA,,NA,NA,NA,,NA,NA,NA,251,-530,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,-214,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-1,0-0,1,572964,NA,NA,NA,NA,1,Deuce,Player2,Far,1,Wide,153,-121,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-1,0-0,NA,576061,NA,NA,NA,NA,2,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,329,-432,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-1,0-0,NA,578225,NA,NA,NA,NA,3,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-66,77,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146,-406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-1,0-0,NA,579751,NA,NA,NA,NA,4,Ad,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-188,-504,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,1,-60,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
