pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWide,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,PlayerServer
40 - 15,0 - 0,0 - 0,0,159000,0,,5.0,,3,Deuce,Player2,,,,,,,,,,0,154.92108486431192,-469.837374234228,Down the Line,Forehand,,,,,,,,,,112.70976049862944,244.73302165341687,,,,,,,,,,,,,,,,,,,,Matka Komac,3,serve_plus_one,Forehand,Topspin,71.206413,5,1,1,short,ad,far,2.944623,18.281025,deep,deuce,near,4.047424,-0.387637,1.189412,down the line,In,False,02:42:23,,Matka KomacForehand
40 - 15,0 - 0,0 - 0,0,160000,0,,5.0,,4,Ad,Player1,,,,,,,,,,0,76.30199037616356,508.5103455815395,Down the Line,Backhand,,,,,,,,,,67.97088801396313,-165.3901192037641,,,,,,,,,,,,,,,,,,,,Elise Wagle,4,return_plus_one,Backhand,Topspin,50.173615,5,1,1,short,deuce,near,1.775788,7.566265,out,ad,far,1.993444,25.172396,1.147778,down the line,In,False,02:42:24,,Elise WagleBackhand
40 - 15,0 - 0,0 - 0,0,161000,1,161000,5.0,,5,Deuce,Player2,,,,,,,,,,0,67.97088801396313,-185.4947178476732,Down the Line,,,1,,,,,,,,114.69849081358903,-219.5631452317326,,,1,,,,,,,,,,,,,,,,,Matka Komac,5,in_play,FH Volley,Flat,19.918634,5,1,1,short,deuce,near,2.99658,6.150956,short,deuce,near,1.775788,7.041018,0.341648,cross court,Net,False,02:42:25,,Matka KomacFH Volley
40 - 30,0 - 0,0 - 0,1,184000,0,,6.0,,1,Ad,Player2,Near,1,Body,65.44043088360574,244.82159339444925,,,,,0,-39.26124234468663,-474.7211067364127,Crosscourt,,1,,,,,,,,,65.44043088360574,244.82159339444925,,,,,,,,,,,,,,,,,,,,Matka Komac,1,first_serve,Serve,Slice,81.271652,6,1,1,short,ad,far,1.709678,18.283339,deep,ad,near,-1.025728,-0.515228,2.594636,down the T,In,False,02:42:48,,Matka KomacServe
40 - 30,0 - 0,0 - 0,0,185000,0,,6.0,,2,Ad,Player1,,,,,,,,,,0,104.72643810143322,540.4853182411906,Down the Line,Forehand,,,,,,,,,,238.983590332335,-244.63909120722272,,1,,,,,,,,,,,,,,,,,,Elise Wagle,2,first_return,Forehand,Topspin,37.604771,6,1,1,short,deuce_out,near,6.243617,5.495829,out,ad,far,2.736053,26.007765,1.187893,inside in,Out,False,02:42:49,,Elise WagleForehand
40 - 30,0 - 0,0 - 0,0,206000,0,,6.0,,1,Ad,Player2,Near,0,T,29.405090769888574,235.31437007861865,1,T,29.405090769888574,235.31437007861865,0,-48.464320866116694,-453.3148786086897,Crosscourt,,1,,,,,,,,,29.405090769888574,235.31437007861865,,,,,,,,,,,,,,,,,,,,Matka Komac,1,first_serve,Serve,Slice,82.67923,7,1,1,short,ad,far,0.768229,18.034956,deep,ad,near,-1.266165,0.044025,2.609206,down the T,In,False,02:43:10,,Matka KomacServe
40 - 30,0 - 0,0 - 0,0,207000,0,,6.0,,2,Ad,Player1,,,,,,,,,,0,32.90191382325509,519.4532808396267,Crosscourt,Forehand,,,,,,,,,,-95.54211504806963,-279.190337926365,,,,,,,,,,,,,,,,,,,,Elise Wagle,2,first_return,Forehand,Topspin,45.762543,7,1,1,deep,ad,near,-2.496106,4.593153,out,ad,far,0.859586,25.458288,1.189781,inside out,In,False,02:43:11,,Elise WagleForehand
40 - 30,0 - 0,0 - 0,0,209000,0,,6.0,,3,Ad,Player2,,,,,,,,,,0,-99.74138779522407,-494.2706583549502,Down the Line,Backhand,,,,,,,,,,-51.69875874887968,286.4828466752676,,,,,,,,,,,,,,,,,,,,Matka Komac,3,serve_plus_one,Backhand,Flat,63.913589,7,1,1,deep,deuce,far,-1.350667,19.371769,out,ad,near,-2.605815,-1.025974,1.333417,down the line,In,False,02:43:13,,Matka KomacBackhand
40 - 30,0 - 0,0 - 0,0,210000,0,,6.0,,4,Deuce,Player1,,,,,,,,,,0,-38.97271434818634,568.4164588798463,Down the Line,Forehand,,,,,,,,,,-108.08048993870182,-320.4267989937103,,,,,,,,,,,,,,,,,,,,Elise Wagle,4,return_plus_one,Forehand,Topspin,51.827385,7,1,1,deep,ad,near,-2.82368,3.515821,out,deuce,far,-1.01819,26.737486,0.810884,down the line,In,False,02:43:14,,Elise WagleForehand
40 - 30,0 - 0,0 - 0,0,211000,0,,6.0,,5,Ad,Player2,,,,,,,,,,0,-104.07623578297337,-522.1131124231773,Crosscourt,Backhand,,,,,,,,,,67.56014326330718,254.47736767265937,,,,,,,,,,,,,,,,,,,,Matka Komac,5,in_play,Backhand,Topspin,55.457901,7,1,1,deep,ad,far,1.765057,18.535603,out,ad,near,-2.719066,-1.753378,1.088133,cross court,In,False,02:43:15,,Matka KomacBackhand
40 - 30,0 - 0,0 - 0,0,213000,0,,6.0,,6,Ad,Player1,,,,,,,,,,0,129.00290354324045,518.7535870513506,Crosscourt,Backhand,,,,,,,,,,-56.38735783024209,-224.2105971127451,,,,,,,,,,,,,,,,,,,,Elise Wagle,6,in_play,Backhand,Topspin,67.74424,7,1,1,short,ad,near,-1.47316,6.029538,out,ad,far,3.370293,25.440008,0.989293,cross court,In,False,02:43:17,,Elise WagleBackhand
40 - 30,0 - 0,0 - 0,0,214000,0,,6.0,,7,Ad,Player2,,,,,,,,,,0,-102.05309492558158,-494.6578248028941,Crosscourt,Backhand,,,,,,,,,,157.51538713902625,452.61051509162974,,1,,,,,,,,,,,,,,,,,,Matka Komac,7,in_play,Backhand,Topspin,65.670418,7,1,1,deep,ad_alley,far,4.115202,23.711973,out,ad,near,-2.66621,-1.036089,0.755433,down the line,Out,False,02:43:18,,Matka KomacBackhand
40 - 30,0 - 0,0 - 0,0,258000,1,258000,6.0,,0,Deuce,Player1,,,,,,,,,,0,-22.417147856506354,159.66350065608555,Crosscourt,,,,,,,,,,,34.55090223095328,241.39638560792432,,,1,,,,,,,,,,,,,,,,,Elise Wagle,0,none,Feed,Flat,16.833559,8,2,1,short,ad,far,0.902667,18.193853,short,deuce,far,-0.585664,16.058523,1.892492,---,Net,False,02:44:02,,Elise WagleFeed
40 - 40,0 - 0,0 - 0,1,298000,0,,7.0,1,1,Deuce,Player1,Near,1,Wide,-121.57489610667385,219.37930336821563,,,,,0,31.227127077849133,-468.0022090986209,Crosscourt,,,,,,,,,,,-121.57489610667385,219.37930336821563,,,,,,,,,,,,,,,,,,,,Elise Wagle,1,first_serve,Serve,Flat,70.085716,8,2,1,short,deuce,far,-3.176231,17.618641,deep,deuce,near,0.815831,-0.339692,2.654267,out wide,In,False,02:44:42,,Elise WagleServe
