pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWide,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,PlayerServer
15 - 40,0 - 0,0 - 0,0,9168000,0,,5.0,,3,Ad,Player2,,,,,,,,,,0,24.922457349068488,494.4343667976448,Down the Line,Forehand,1,,,,,,,,,28.398266622907464,258.89125656154596,,,1,,,,,,,,,,,,,,,,,Ferguson,3,serve_plus_one,Forehand,Slice,67.088982,8,0,0,no_mans_land,ad,far,0.741925,18.650919,no_mans_land,ad,far,0.651117,24.804651,1.028124,inside out,Net,False,21:02:04,152.800003,FergusonForehand
15 - 40,0 - 0,0 - 0,0,9235199,0,,5.0,,4,Ad,Player2,,,,,,,,,,0,27.013347550292256,430.01266404177255,Down the Line,Forehand,,,,,,,,,,109.48925524928728,-353.9509733156527,,,,,,,,,,,,,,,,,,,,Ferguson,4,return_plus_one,Forehand,Topspin,74.782082,8,0,0,no_mans_land,deuce,near,2.860485,2.639978,no_mans_land,ad,far,0.705743,23.121588,1.703243,inside in,In,False,21:02:05,153.919998,FergusonForehand
15 - 40,0 - 0,0 - 0,0,9307199,1,9307199,5.0,,5,Deuce,Player1,,,,,,,,,,0,147.26866251086005,-552.7994313207993,Crosscourt,Forehand,,,,,,,,,,-52.72904636917661,324.71923665775006,1,,,,,,,,,,,,,,,,,,,Aadarsh,5,in_play,Forehand,Topspin,34.0634,8,0,0,no_mans_land,deuce,far,-1.377584,20.370722,out,deuce,near,3.847499,-2.55508,1.693048,cross court,In,False,21:02:07,155.119995,AadarshForehand
30 - 40,0 - 0,0 - 0,1,13033799,0,,6.0,1,1,Deuce,Player1,Far,0,T,34.81317257216049,214.51356080478863,,,,,0,-57.066229221317855,494.1924212595872,Crosscourt,,,,,,,,,,,34.81317257216049,214.51356080478863,,,1,,,,,,,,,,,,,,,,,Aadarsh,1,serve,Serve,Flat,50.932919,9,0,0,service_box,ad,far,0.909519,17.49152,no_mans_land,deuce,far,-1.490896,24.79833,2.399011,out wide,Net,False,21:03:09,217.229996,AadarshServe
30 - 40,0 - 0,0 - 0,0,13456799,0,,6.0,,1,Deuce,Player1,Far,0,Body,54.79815726156399,-181.75564304452553,1,Body,54.79815726156399,-181.75564304452553,0,-51.42603893260686,444.88731955357594,Crosscourt,,,,,,,,,,,54.79815726156399,-181.75564304452553,,,,,,,,,,,,,,,,,,,,Aadarsh,1,serve,Serve,Flat,43.769688,10,0,0,service_box,deuce,near,1.431641,7.138704,no_mans_land,deuce,far,-1.343542,23.510199,2.539388,down the T,In,False,21:03:16,224.279999,AadarshServe
30 - 40,0 - 0,0 - 0,0,13548000,0,,6.0,,2,Deuce,Player2,,,,,,,,,,0,68.26293744528407,-525.0607830268503,Crosscourt,Forehand,,,,,,,,,,-19.695231846009072,250.30676399812086,,,,,,,,,,,,,,,,,,,,Ferguson,2,return,Forehand,Topspin,46.943375,10,0,0,no_mans_land,deuce,far,-0.514552,18.426643,out,deuce,near,1.783418,-1.830388,1.140016,cross court,In,False,21:03:17,225.800003,FergusonForehand
30 - 40,0 - 0,0 - 0,0,13639200,0,,6.0,,3,Deuce,Player1,,,,,,,,,,0,-32.23471675413908,470.48420822372896,Crosscourt,Forehand,,,,,,,,,,31.824278215206654,-248.17778871378255,,,,,,,,,,,,,,,,,,,,Aadarsh,3,serve_plus_one,Forehand,Topspin,54.722855,10,0,0,no_mans_land,deuce,near,0.831432,5.403378,no_mans_land,deuce,far,-0.842155,24.178936,1.44243,cross court,In,False,21:03:19,227.320007,AadarshForehand
30 - 40,0 - 0,0 - 0,0,13719600,0,,6.0,,4,Deuce,Player2,,,,,,,,,,0,51.22451334205577,-451.0671697285509,Crosscourt,Forehand,,,,,,,,,,-57.07702318457243,301.8457567802466,,,,,,,,,,,,,,,,,,,,Ferguson,4,return_plus_one,Forehand,Topspin,52.369717,10,0,0,no_mans_land,deuce,far,-1.491178,19.773136,no_mans_land,deuce,near,1.338277,0.102748,1.130913,cross court,In,False,21:03:20,228.660004,FergusonForehand
30 - 40,0 - 0,0 - 0,0,13797600,0,,6.0,,5,Deuce,Player1,,,,,,,,,,0,-79.07393372699326,478.3441655728063,Crosscourt,Forehand,,,,,,,,,,79.8983705161442,-327.21520669274435,,,,,,,,,,,,,,,,,,,,Aadarsh,5,in_play,Forehand,Topspin,62.11232,10,0,0,no_mans_land,deuce,near,2.087402,3.338469,no_mans_land,deuce,far,-2.065863,24.384283,1.646414,cross court,In,False,21:03:21,229.960007,AadarshForehand
30 - 40,0 - 0,0 - 0,0,13869600,0,,6.0,,6,Deuce,Player2,,,,,,,,,,0,137.76182195968386,-521.008109142338,Crosscourt,Forehand,,,,,,,,,,-105.80606408568462,375.62693569534395,,,,,,,,,,,,,,,,,,,,Ferguson,6,in_play,Forehand,Topspin,67.861076,10,0,0,no_mans_land,deuce,far,-2.764259,21.700722,out,deuce,near,3.599126,-1.724509,1.072638,cross court,In,False,21:03:23,231.160004,FergusonForehand
