pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
30-30,0-0,0-0,,236005.0,,,5,,6,Ad,Rudy Quan,Near,,,,,,,,,,8.0,490.0,Down the Line,Forehand,,,,,,,,,,80.0,-229.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
30-30,0-0,0-0,,237482.0,,,5,,7,Deuce,Rudy Quan,Near,,,,,,,,,,118.0,-528.0,Down the Line,Forehand,,,,,,,,,,72.0,352.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
30-30,0-0,0-0,,238718.0,1.0,,5,,8,Deuce,Rudy Quan,Near,,,,,,,,,,-16.0,498.0,Down the Line,Forehand,,,,,,,,,,-45.0,3.0,,,,1.0,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,Rudy Quan,1,,,
40-30,0-0,0-0,1.0,239957.0,,,6,,1,Ad,Rudy Quan,Near,1.0,Body,59.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,Body,
40-30,0-0,0-0,,266074.0,,,6,,2,Ad,Rudy Quan,Near,,,,,,,,,,88.0,512.0,Crosscourt,Backhand,,,,,,,,,,-77.0,-312.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,1,,,,0,,,Short
40-30,0-0,0-0,,267313.0,,,6,,3,Ad,Rudy Quan,Near,,,,,,,,,,-98.0,-464.0,Down the Line,Backhand,,,,,,,,,,-29.0,368.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
40-30,0-0,0-0,,269433.0,,,6,,4,Deuce,Rudy Quan,Near,,,,,,,,,,-37.0,490.0,Down the Line,Forehand,,,,,,,,,,-72.0,-325.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
40-30,0-0,0-0,,270186.0,,,6,,5,Ad,Rudy Quan,Near,,,,,,,,,,-96.0,-512.0,Down the Line,Backhand,,,,,,,,,,-29.0,424.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
40-30,0-0,0-0,,272333.0,,,6,,6,Deuce,Rudy Quan,Near,,,,,,,,,,-66.0,514.0,Down the Line,Forehand,,,,,,,,,,-152.0,-325.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
40-30,0-0,0-0,,273296.0,,,6,,7,Ad,Rudy Quan,Near,,,,,,,,,,-234.0,-536.0,Down the Line,Backhand,,,,,,,,,,-53.0,400.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
40-30,0-0,0-0,,275538.0,,,6,,8,Deuce,Rudy Quan,Near,,,,,,,,,,-88.0,488.0,Down the Line,Forehand,,,,,,,,,,-128.0,-320.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
40-30,0-0,0-0,,276797.0,,,6,,9,Ad,Rudy Quan,Near,,,,,,,,,,-162.0,-541.0,Crosscourt,Backhand,,,,,,,,,,77.0,336.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Short
