Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 0-0, 40-40 Rudy Quan Serving",11,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,488591.0,,,Rudy Quan,6,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,-72.0,238.0,,,Down the Line,Forehand,Wide Right,,Crosscourt,Forehand,Yuta Shimizu,Error,True,,,0.0,0,0,0,0,40,40,,,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Crosscourt,Forehand,Error,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",12,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,506603.0,,,Yuta Shimizu,5,5 - 8,1,0,1st Serve In,T,T,,False,Near,8.0,220.0,,,Crosscourt,Backhand,Wide Left,,Down the Line,Backhand,Rudy Quan,Error,False,Rudy Quan,,0.0,0,0,0,0,A,40,,,1st Serve In,Ad: T,,,Down the Line,Backhand,Error,,,Crosscourt,Backhand,,,,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",13,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,538973.0,,,Rudy Quan,4,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,-104.0,169.0,,,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Yuta Shimizu,Error,True,,,0.0,0,0,0,0,40,40,,,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Error,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",14,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,577842.0,,,Yuta Shimizu,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,70.0,217.0,,,Crosscourt,Forehand,Net,,Crosscourt,Forehand,Rudy Quan,Error,False,,,0.0,0,0,0,0,A,40,,,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,,,Crosscourt,Forehand,,,,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",15,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,605209.0,,,Rudy Quan,2,1 - 4,1,0,1st Serve In,Body,Body,,False,Near,-90.0,156.0,,,Crosscourt,Backhand,Long,Long,Crosscourt,Backhand,Yuta Shimizu,Error,True,,,0.0,0,0,0,0,40,40,,,1st Serve In,Deuce: Body,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",16,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,641051.0,,,Yuta Shimizu,5,5 - 8,0,1,2nd Serve In,Body,T,Body,False,Near,46.0,4.0,99.0,160.0,Crosscourt,Forehand,Net,,Down the Line,Forehand,Rudy Quan,Error,False,,,0.0,0,0,0,0,A,40,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",17,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,678109.0,,,Rudy Quan,6,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,-90.0,161.0,,,Down the Line,Backhand,Wide Left,,Crosscourt,Forehand,Yuta Shimizu,Error,True,,,0.0,0,0,0,0,40,40,,,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Error,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",18,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,721102.0,,,Yuta Shimizu,3,1 - 4,0,1,2nd Serve In,Wide,Body,Wide,False,Near,94.0,1.0,120.0,210.0,Crosscourt,Forehand,Long,,Crosscourt,Backhand,Rudy Quan,Error,False,,,0.0,0,0,0,0,A,40,,,2nd Serve In,Ad: Wide,,,Crosscourt,Backhand,Error,,,Crosscourt,Forehand,,,,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",19,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,756138.0,,,Rudy Quan,2,1 - 4,0,1,2nd Serve In,Body,Body,Body,False,Near,-82.0,1.0,-74.0,155.0,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Yuta Shimizu,Error,True,,,0.0,0,0,0,0,40,40,,,2nd Serve In,Deuce: Body,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",20,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,825977.0,,,Rudy Quan,13,13 +,1,0,1st Serve In,T,T,,False,Near,40.0,217.0,,,Down the Line,Backhand,,,Crosscourt,Backhand,Rudy Quan,Winner,False,Rudy Quan,,0.0,0,0,0,0,A,40,,,1st Serve In,Ad: T,,,Crosscourt,Backhand,Winner,,,Down the Line,Backhand,,,,UCLA,
"Set 1: 1-0, 0-0 Yuta Shimizu Serving",21,1,2,Rudy Quan,Yuta Shimizu,0-0,1-0,0-0,,Deuce,Yuta Shimizu,Rudy Quan,914409.0,,,Rudy Quan,6,5 - 8,1,0,1st Serve In,T,T,,False,Near,-10.0,228.0,,,Crosscourt,Backhand,,,Down the Line,Forehand,Rudy Quan,Winner,False,,,0.0,0,0,1,0,0,0,,,,,Crosscourt,Backhand,Down the Line,Forehand,Winner,1st Serve In,Deuce: T,,,,,,UCLA,
"Set 1: 1-0, 15-0 Yuta Shimizu Serving",22,1,2,Rudy Quan,Yuta Shimizu,15-0,1-0,0-0,,Ad,Yuta Shimizu,Rudy Quan,925468.0,,,Rudy Quan,8,5 - 8,0,1,2nd Serve In,Body,Body,Body,False,Near,56.0,1.0,83.0,195.0,Crosscourt,Backhand,,,Down the Line,Forehand,Rudy Quan,Winner,False,,,0.0,0,0,1,0,15,0,,,,,Crosscourt,Backhand,Down the Line,Forehand,Winner,2nd Serve In,Ad: Body,,,,,,UCLA,
"Set 1: 1-0, 30-0 Yuta Shimizu Serving",23,1,2,Rudy Quan,Yuta Shimizu,30-0,1-0,0-0,,Deuce,Yuta Shimizu,Rudy Quan,963331.0,,,Yuta Shimizu,2,1 - 4,1,0,1st Serve In,T,T,,False,Near,-21.0,220.0,,,Crosscourt,Backhand,Wide Left,Wide Left,Crosscourt,Backhand,Rudy Quan,Error,False,,,0.0,0,0,1,0,30,0,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1st Serve In,Deuce: T,,,,,,UCLA,
"Set 1: 1-0, 30-15 Yuta Shimizu Serving",24,1,2,Rudy Quan,Yuta Shimizu,30-15,1-0,0-0,,Ad,Yuta Shimizu,Rudy Quan,990134.0,,,Rudy Quan,13,13 +,1,0,1st Serve In,Wide,Wide,,False,Near,123.0,151.0,,,Crosscourt,Backhand,Wide Left,,Crosscourt,Backhand,Yuta Shimizu,Error,False,,,0.0,0,0,1,0,30,15,,,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Backhand,Error,UCLA,
"Set 1: 1-0, 40-15 Yuta Shimizu Serving",25,1,2,Rudy Quan,Yuta Shimizu,40-15,1-0,0-0,,Deuce,Yuta Shimizu,Rudy Quan,1026203.0,,,Rudy Quan,5,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Near,-136.0,228.0,,,Down the Line,Forehand,Net,,Down the Line,Forehand,Yuta Shimizu,Error,False,,,,0,0,1,0,40,15,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,UCLA,
"Set 1: 2-0, 0-0 Rudy Quan Serving",26,1,3,Rudy Quan,Yuta Shimizu,0-0,2-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,1091103.0,,,Rudy Quan,5,5 - 8,1,0,1st Serve In,T,T,,False,Far,38.0,-234.0,,,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Rudy Quan,Winner,False,,,,0,0,2,0,0,0,,,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,,,Crosscourt,Backhand,,,,UCLA,
"Set 1: 2-0, 15-0 Rudy Quan Serving",27,1,3,Rudy Quan,Yuta Shimizu,15-0,2-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,1097214.0,,,Rudy Quan,9,9 - 12,1,0,1st Serve In,Body,Body,,False,Far,-95.0,-237.0,,,Crosscourt,Forehand,,,Crosscourt,Forehand,Rudy Quan,Winner,False,,,,0,0,2,0,15,0,,,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Winner,,,Crosscourt,Forehand,,,,UCLA,
"Set 1: 2-0, 30-0 Rudy Quan Serving",28,1,3,Rudy Quan,Yuta Shimizu,30-0,2-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,1130579.0,,,Yuta Shimizu,13,13 +,1,0,1st Serve In,Body,Body,,False,Far,86.0,-179.0,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Rudy Quan,Error,False,,,,0,0,2,0,30,0,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,UCLA,
"Set 1: 2-0, 30-15 Rudy Quan Serving",29,1,3,Rudy Quan,Yuta Shimizu,30-15,2-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,1175826.0,,,Yuta Shimizu,8,5 - 8,1,0,1st Serve In,Body,Body,,False,Far,-71.0,-221.0,,,Down the Line,Backhand,,,Down the Line,Forehand,Yuta Shimizu,Winner,False,,,,0,0,2,0,30,15,,,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Down the Line,Forehand,Winner,UCLA,
"Set 1: 2-0, 30-30 Rudy Quan Serving",30,1,3,Rudy Quan,Yuta Shimizu,30-30,2-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,1218073.0,,,Yuta Shimizu,9,9 - 12,1,0,1st Serve In,Wide,Wide,,False,Far,126.0,-205.0,,,Crosscourt,Backhand,Net,,Down the Line,Backhand,Rudy Quan,Error,False,,,,0,0,2,0,30,30,,,1st Serve In,Deuce: Wide,,,Down the Line,Backhand,Error,,,Crosscourt,Backhand,,,,UCLA,
"Set 1: 2-0, 30-40 Rudy Quan Serving",31,1,3,Rudy Quan,Yuta Shimizu,30-40,2-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,1263120.0,,,Yuta Shimizu,7,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Far,-114.0,-203.0,,,Crosscourt,Forehand,Long,,Crosscourt,Forehand,Rudy Quan,Error,True,,,,0,0,2,0,30,40,,,1st Serve In,Ad: Wide,,,Crosscourt,Forehand,Error,,,Crosscourt,Forehand,,,,UCLA,
"Set 1: 2-1, 0-0 Yuta Shimizu Serving",32,1,4,Rudy Quan,Yuta Shimizu,0-0,2-1,0-0,,Deuce,Yuta Shimizu,Rudy Quan,1405599.0,,,Yuta Shimizu,22,13 +,1,0,1st Serve In,Body,Body,,False,Far,99.0,-210.0,,,Down the Line,Forehand,Net,,Down the Line,Forehand,Rudy Quan,Error,False,,,,0,0,2,1,0,0,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,1st Serve In,Deuce: Body,,,,,,UCLA,
"Set 1: 2-1, 0-15 Yuta Shimizu Serving",33,1,4,Rudy Quan,Yuta Shimizu,0-15,2-1,0-0,,Ad,Yuta Shimizu,Rudy Quan,1436505.0,,,Yuta Shimizu,12,9 - 12,0,1,2nd Serve In,Body,Body,Body,False,Far,-92.0,-330.0,-79.0,-216.0,Down the Line,Backhand,Wide Left,,Down the Line,Backhand,Rudy Quan,Error,False,,,,0,0,2,1,0,15,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,2nd Serve In,Ad: Body,,,,,,UCLA,
"Set 1: 2-1, 0-30 Yuta Shimizu Serving",34,1,4,Rudy Quan,Yuta Shimizu,0-30,2-1,0-0,,Deuce,Yuta Shimizu,Rudy Quan,1492514.0,,,Rudy Quan,5,5 - 8,1,0,1st Serve In,T,T,,False,Far,43.0,-226.0,,,Down the Line,Backhand,Long,,Down the Line,Forehand,Yuta Shimizu,Error,False,,,,0,0,2,1,0,30,,,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,UCLA,
"Set 1: 2-1, 15-30 Yuta Shimizu Serving",35,1,4,Rudy Quan,Yuta Shimizu,15-30,2-1,0-0,,Ad,Yuta Shimizu,Rudy Quan,1518281.0,,,Yuta Shimizu,4,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Far,-111.0,-213.0,,,Down the Line,Backhand,Net,,Down the Line,Backhand,Rudy Quan,Error,False,,,,0,0,2,1,15,30,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Ad: Wide,,,,,,UCLA,
