pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-40,0-0,0-0,1,281240,,,,1,1,Deuce,Player1,Near,0,Body,-93,265,1,T,-48,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,335537,,,,,2,Deuce,Player1,Near,,,,,,,,,,-109,434,Down the Line,Forehand,1,,,,,,,,,-88,-306,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,337739,,,,,3,Ad,Player1,Near,,,,,,,,,,-130,-474,Crosscourt,Forehand,,,,,,,,,,136,389,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,339250,,,,,4,Ad,Player1,Near,,,,,,,,,,208,530,Crosscourt,Forehand,,,,,,,,,,-75,-349,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,340369,,,,,5,Ad,Player1,Near,,,,,,,,,,-130,-437,Down the Line,Forehand,,,,,,,,,,-117,365,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,342142,,,,,6,Deuce,Player1,Near,,,,,,,,,,-141,552,Down the Line,Forehand,,,,,,,,,1,-101,-309,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,343519,1,,,,7,Ad,Player1,Near,,,,,,,,,,-120,-314,Down the Line,Forehand,,1,,,,,,,,-168,493,,,1,,1,,,,,,,,,,,,,,,
40-A,0-0,0-0,1,350564,,,,,1,Ad,Player1,Near,0,Wide,123,265,1,T,24,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-A,0-0,0-0,,383983,,,,,2,Ad,Player1,Near,,,,,,,,,,3,501,Down the Line,Backhand,,,,,,,,,,99,-176,,,,,,,,,,,,,,,,,,,,
40-A,0-0,0-0,,385312,,,,,3,Deuce,Player1,Near,,,,,,,,,,112,-501,Crosscourt,Forehand,,,,,,,,,,-123,370,,,,,,,,,,,,,,,,,,,,
40-A,0-0,0-0,,387090,1,,,,4,Deuce,Player1,Near,,,,,,,,,,-186,490,Crosscourt,Backhand,,,,,,,,,,93,-522,,,,,1,,,,,,,,,,,,,,,
40-40,0-0,0-0,1,387951,,,,,1,Deuce,Player1,Near,1,Wide,-120,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,416699,,,,,2,Deuce,Player1,Near,,,,,,,,,,-170,469,Crosscourt,Backhand,,,,,,,,,,117,-280,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,417795,,,,,3,Deuce,Player1,Near,,,,,,,,,,192,-496,Crosscourt,Forehand,,,,,,,,,,-101,408,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,419165,,,,,4,Deuce,Player1,Near,,,,,,,,,,-154,504,Down the Line,Backhand,,,,,,,,,,-91,-264,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,420160,,,,,5,Ad,Player1,Near,,,,,,,,,,-80,-488,Crosscourt,Backhand,,,,,,,,,,75,258,,,,,,,,,,,,,,,,,,,,
