pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-40,0-0,0-0,,335537.0,,,,,2,Deuce,Player1,Near,,,,,,,,,,-109.0,434.0,Down the Line,Forehand,1.0,,,,,,,,,-88.0,-306.0,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,337739.0,,,,,3,Ad,Player1,Near,,,,,,,,,,-130.0,-474.0,Crosscourt,Forehand,,,,,,,,,,136.0,389.0,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,339250.0,,,,,4,Ad,Player1,Near,,,,,,,,,,208.0,530.0,Crosscourt,Forehand,,,,,,,,,,-75.0,-349.0,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,340369.0,,,,,5,Ad,Player1,Near,,,,,,,,,,-130.0,-437.0,Down the Line,Forehand,,,,,,,,,,-117.0,365.0,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,342142.0,,,,,6,Deuce,Player1,Near,,,,,,,,,,-141.0,552.0,Down the Line,Forehand,,,,,,,,,1.0,-101.0,-309.0,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,343519.0,1.0,,,,7,Ad,Player1,Near,,,,,,,,,,-120.0,-314.0,Down the Line,Forehand,,1.0,,,,,,,,-168.0,493.0,,,1.0,,1.0,,,,,,,,,,,,,,,
40-A,0-0,0-0,1.0,350564.0,,,,,1,Ad,Player1,Near,0.0,Wide,123.0,265.0,1.0,T,24.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-A,0-0,0-0,,383983.0,,,,,2,Ad,Player1,Near,,,,,,,,,,3.0,501.0,Down the Line,Backhand,,,,,,,,,,99.0,-176.0,,,,,,,,,,,,,,,,,,,,
40-A,0-0,0-0,,385312.0,,,,,3,Deuce,Player1,Near,,,,,,,,,,112.0,-501.0,Crosscourt,Forehand,,,,,,,,,,-123.0,370.0,,,,,,,,,,,,,,,,,,,,
40-A,0-0,0-0,,387090.0,1.0,,,,4,Deuce,Player1,Near,,,,,,,,,,-186.0,490.0,Crosscourt,Backhand,,,,,,,,,,93.0,-522.0,,,,,1.0,,,,,,,,,,,,,,,
