pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
30-30,0-0,0-0,,207367,1.0,210267.0,5,,2,Deuce,Theo Dean,Near,,,,,,,,,,-186.0,426.0,Crosscourt,Forehand,,,,,,,,,,41.0,-468.0,,,,,1.0,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,Theo Dean,1,,,Long
30-40,0-0,0-0,1.0,232356,,,6,1.0,1,Ad,Theo Dean,Near,1.0,Body,83.0,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,1st Serve In,Body,
30-40,0-0,0-0,,235289,,,6,,2,Ad,Theo Dean,Near,,,,,,,,,,102.0,482.0,Crosscourt,Backhand,,,,,,,,,,-71.0,-284.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
30-40,0-0,0-0,,236833,,,6,,3,Ad,Theo Dean,Near,,,,,,,,,,-130.0,-418.0,Crosscourt,Backhand,,,,,,,,,,46.0,329.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Short
30-40,0-0,0-0,,237706,,,6,,4,Ad,Theo Dean,Near,,,,,,,,,,91.0,482.0,Crosscourt,Backhand,,,,,,,,,,-52.0,-217.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
30-40,0-0,0-0,,239253,,,6,,5,Ad,Theo Dean,Near,,,,,,,,,,-90.0,-469.0,Crosscourt,Backhand,,,,,,,,,,11.0,316.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Short
30-40,0-0,0-0,,240263,,,6,,6,Ad,Theo Dean,Near,,,,,,,,,,35.0,490.0,Crosscourt,Backhand,,,,,,,,,,-79.0,-369.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Deep
30-40,0-0,0-0,,241833,,,6,,7,Ad,Theo Dean,Near,,,,,,,,,,-119.0,-493.0,Down the Line,Backhand,,,,,,,,,,-10.0,284.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Short
30-40,0-0,0-0,,242927,,,6,,8,Deuce,Theo Dean,Near,,,,,,,,,,-10.0,490.0,Down the Line,Forehand,,,,,,,,,,-79.0,-380.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Deep
30-40,0-0,0-0,,244269,,,6,,9,Ad,Theo Dean,Near,,,,,,,,,,-60.0,-504.0,Crosscourt,Backhand,,,,,,,,,,17.0,225.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Short
