pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
91,Aadarsh Tripathi,Theo Dean,30-0,0-3,0-1,,Deuce,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4309563.0,4329741.0,20178.0,7,5-8,0,1,2nd Serve In,Body,T,Body,False,Far,-2.0,0.0,54.0,-160.0,Crosscourt,Backhand,,,Crosscourt,Forehand,Aadarsh Tripathi,Winner,Aadarsh Tripathi,,False,Aadarsh Tripathi,,2,0,1,0,3,30,0,,,4,2nd Serve In,Deuce: Body,,,Crosscourt,Forehand,Winner,,,Crosscourt,Backhand,,,,0.0,0.0,3.0,3.0,"Set 2: 0-3, 30-0 Aadarsh Tripathi Serving"
92,Aadarsh Tripathi,Theo Dean,40-0,0-3,0-1,,Ad,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4364414.0,4377923.0,13509.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,-148.0,-224.0,,,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Theo Dean,Error,Aadarsh Tripathi,,False,,,2,0,1,0,3,40,0,,,4,1st Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 2: 0-3, 40-0 Aadarsh Tripathi Serving"
93,Aadarsh Tripathi,Theo Dean,0-0,1-3,0-1,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4386892.0,4407852.0,20960.0,9,9-12,0,1,2nd Serve In,Body,Wide,Body,False,Near,-108.0,272.0,-76.0,200.0,Crosscourt,Forehand,,,Crosscourt,Forehand,Theo Dean,Winner,Theo Dean,,False,,Theo Dean,2,0,1,1,3,0,0,,,5,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: Body,,,Crosscourt,Forehand,Winner,0.0,3.0,4.0,1.0,"Set 2: 1-3, 0-0 Theo Dean Serving"
94,Aadarsh Tripathi,Theo Dean,15-0,1-3,0-1,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4435278.0,4441723.0,6445.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,148.0,230.0,,,Down the Line,Backhand,,,Down the Line,Forehand,Theo Dean,Winner,Theo Dean,,False,,Theo Dean,2,0,1,1,3,15,0,,,5,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Winner,0.0,0.0,2.0,2.0,"Set 2: 1-3, 15-0 Theo Dean Serving"
95,Aadarsh Tripathi,Theo Dean,30-0,1-3,0-1,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4460556.0,4502530.0,41974.0,15,13+,0,1,2nd Serve In,T,Body,T,False,Near,-89.0,262.0,-14.0,195.0,Crosscourt,Backhand,,,Down the Line,Forehand,Theo Dean,Winner,Theo Dean,,False,,Theo Dean,2,0,1,1,3,30,0,,,5,,,Crosscourt,Backhand,,,,2nd Serve In,Deuce: T,,,Down the Line,Forehand,Winner,1.0,2.0,6.0,5.0,"Set 2: 1-3, 30-0 Theo Dean Serving"
96,Aadarsh Tripathi,Theo Dean,40-0,1-3,0-1,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4521708.0,4534328.0,12620.0,8,5-8,1,0,1st Serve In,T,T,,False,Near,23.0,190.0,,,Down the Line,Forehand,Long,,Down the Line,Backhand,Aadarsh Tripathi,Error,Theo Dean,,False,,,2,0,1,1,3,40,0,,,5,,,Down the Line,Forehand,Down the Line,Backhand,Error,1st Serve In,Ad: T,,,,,,0.0,2.0,3.0,1.0,"Set 2: 1-3, 40-0 Theo Dean Serving"
97,Aadarsh Tripathi,Theo Dean,0-0,1-4,0-1,,Deuce,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4617025.0,4632535.0,15510.0,1,1-4,1,0,1st Serve In,T,T,,True,Near,-12.0,206.0,,,,,,,,,Aadarsh Tripathi,,Aadarsh Tripathi,,False,,,2,0,1,1,4,0,0,,,6,Ace,Deuce: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 2: 1-4, 0-0 Aadarsh Tripathi Serving"
98,Aadarsh Tripathi,Theo Dean,15-0,1-4,0-1,,Ad,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4632525.0,4637571.0,5046.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,10.0,208.0,,,Down the Line,Forehand,Wide Right,Wide Right,Down the Line,Forehand,Theo Dean,Error,Aadarsh Tripathi,,False,,,2,0,1,1,4,15,0,,,6,1st Serve In,Ad: T,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 2: 1-4, 15-0 Aadarsh Tripathi Serving"
99,Aadarsh Tripathi,Theo Dean,30-0,1-4,0-1,,Deuce,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4649108.0,4660534.0,11426.0,3,1-4,0,1,2nd Serve In,Body,T,Body,False,Near,15.0,198.0,-73.0,184.0,Crosscourt,Forehand,Net,,Down the Line,Forehand,Aadarsh Tripathi,Error,Theo Dean,,False,,,2,0,1,1,4,30,0,,,6,2nd Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,0.0,1.0,0.0,0.0,"Set 2: 1-4, 30-0 Aadarsh Tripathi Serving"
100,Aadarsh Tripathi,Theo Dean,30-15,1-4,0-1,,Ad,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4684906.0,,,19,13+,1,0,1st Serve In,Body,Body,,False,Near,90.0,216.0,,,Crosscourt,Backhand,Wide Left,,Down the Line,Backhand,Aadarsh Tripathi,Error,Theo Dean,,False,,,2,0,1,1,4,30,15,,,6,1st Serve In,Ad: Body,,,Down the Line,Backhand,Error,,,Crosscourt,Backhand,,,,4.0,3.0,4.0,6.0,"Set 2: 1-4, 30-15 Aadarsh Tripathi Serving"
101,Aadarsh Tripathi,Theo Dean,30-30,1-4,0-1,,Deuce,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4736279.0,4754240.0,17961.0,5,5-8,0,1,2nd Serve In,T,T,T,False,Near,17.0,213.0,-47.0,234.0,Down the Line,Backhand,Long,,Crosscourt,Forehand,Aadarsh Tripathi,Error,Theo Dean,,False,,,2,0,1,1,4,30,30,,,6,2nd Serve In,Deuce: T,,,Crosscourt,Forehand,Error,,,Down the Line,Backhand,,,,1.0,0.0,0.0,2.0,"Set 2: 1-4, 30-30 Aadarsh Tripathi Serving"
102,Aadarsh Tripathi,Theo Dean,30-40,1-4,0-1,,Ad,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,4774618.0,4789651.0,15033.0,5,5-8,1,0,1st Serve In,T,T,,False,Near,14.0,213.0,,,Down the Line,Forehand,Long,,Down the Line,Backhand,Aadarsh Tripathi,Error,Theo Dean,,True,,Theo Dean,2,0,1,1,4,30,40,,,6,1st Serve In,Ad: T,,,Down the Line,Backhand,Error,,,Down the Line,Forehand,,,,0.0,2.0,1.0,0.0,"Set 2: 1-4, 30-40 Aadarsh Tripathi Serving"
103,Aadarsh Tripathi,Theo Dean,0-0,1-5,0-1,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4806429.0,4813940.0,7511.0,5,5-8,1,0,1st Serve In,Body,Body,,False,Far,78.0,-109.0,,,Down the Line,Forehand,,,Down the Line,Forehand,Theo Dean,Winner,Theo Dean,,False,,Theo Dean,2,0,1,1,5,0,0,,,7,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Winner,0.0,0.0,2.0,2.0,"Set 2: 1-5, 0-0 Theo Dean Serving"
104,Aadarsh Tripathi,Theo Dean,15-0,1-5,0-1,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4835456.0,4846819.0,11363.0,5,5-8,1,0,1st Serve In,Body,Body,,False,Far,-76.0,-181.0,,,Down the Line,Backhand,,,Crosscourt,Backhand,Theo Dean,Winner,Theo Dean,,False,,,2,0,1,1,5,15,0,,,7,,,Down the Line,Backhand,,,,1st Serve In,Ad: Body,,,Crosscourt,Backhand,Winner,0.0,0.0,2.0,2.0,"Set 2: 1-5, 15-0 Theo Dean Serving"
105,Aadarsh Tripathi,Theo Dean,30-0,1-5,0-1,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4865970.0,4884049.0,18079.0,7,5-8,1,0,1st Serve In,Body,Body,,False,Far,54.0,-171.0,,,Down the Line,Backhand,,,Crosscourt,Backhand,Theo Dean,Winner,Theo Dean,,False,Aadarsh Tripathi,Theo Dean,2,0,1,1,5,30,0,,,7,,,Down the Line,Backhand,,,,1st Serve In,Deuce: Body,,,Crosscourt,Backhand,Winner,0.0,0.0,3.0,3.0,"Set 2: 1-5, 30-0 Theo Dean Serving"
106,Aadarsh Tripathi,Theo Dean,40-0,1-5,0-1,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4901738.0,4919890.0,18152.0,11,9-12,1,0,1st Serve In,Body,Body,,False,Far,-98.0,-218.0,,,Down the Line,Backhand,Net,,Down the Line,Backhand,Theo Dean,Error,Aadarsh Tripathi,,False,,,2,0,1,1,5,40,0,,,7,,,Down the Line,Backhand,,,,1st Serve In,Ad: Body,,,Down the Line,Backhand,Error,1.0,0.0,4.0,4.0,"Set 2: 1-5, 40-0 Theo Dean Serving"
107,Aadarsh Tripathi,Theo Dean,40-15,1-5,0-1,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4940010.0,4966664.0,26654.0,6,5-8,1,0,1st Serve In,Body,Body,,False,Far,99.0,-216.0,,,Crosscourt,Forehand,,,Down the Line,Forehand,Aadarsh Tripathi,Winner,Aadarsh Tripathi,,False,,,2,0,1,1,5,40,15,,,7,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,1st Serve In,Deuce: Body,,,,,,2.0,0.0,1.0,2.0,"Set 2: 1-5, 40-15 Theo Dean Serving"
108,Aadarsh Tripathi,Theo Dean,40-30,1-5,0-1,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,4971326.0,4971326.0,0.0,2,1-4,1,0,1st Serve In,,Body,,False,Far,-68.0,-181.0,,,Down the Line,Forehand,Long,Long,Down the Line,Forehand,Aadarsh Tripathi,Error,Theo Dean,,False,,,2,0,1,1,5,40,30,,,7,,,Down the Line,Forehand,Down the Line,Forehand,Error,1st Serve In,,,,,,,0.0,0.0,0.0,0.0,"Set 2: 1-5, 40-30 Theo Dean Serving"
